municipio,uf,codigo_ibge,nome_prefeito
Simolândia,GO,5220686,ILDETE GOMES FERREIRA
Sítio d'Abadia,GO,5220702,ORLANDO JOSE DA SILVA NETO
Taquaral de Goiás,GO,5221007,LORENA MACHADO NERI
Teresina de Goiás,GO,5221080,KLEVERTON BARBOSA DE MELLO
Terezópolis de Goiás,GO,5221197,FHELIPE OLIVEIRA DE ALMEIDA SOUZA
Três Ranchos,GO,5221304,HAROLDO CALAÇA COELHO
Trindade,GO,5221403,MARDEN GABRIEL ALVES DE AGUIAR JÚNIOR
Trombas,GO,5221452,DELVAIR RAMOS MARINHO
Turvânia,GO,5221502,JADIR DIAS POLICARPIO
Turvelândia,GO,5221551,OSELIA LUCIA DE CARVALHO ALVES
Uirapuru,GO,5221577,ELIVAN RIBEIRO DOS SANTOS
Uruaçu,GO,5221601,AZARIAS MACHADO NETO
Uruana,GO,5221700,NEI DOS REIS CRUZ
Urutaí,GO,5221809,ALEXANDRE DE ARAÚJO SILVA
Valparaíso de Goiás,GO,5221858,MARCUS VINICIUS MENDES FERREIRA
Varjão,GO,5221908,DIOGO GUIMARÃES DE ALMEIDA
Vianópolis,GO,5222005,MARCELO UMBELINO DE REZENDE
Vicentinópolis,GO,5222054,ARIOVALDO JESUS DE CARVALHO
Vila Boa,GO,5222203,RUBENS FRANCISCO LOPES
Vila Propício,GO,5222302,WALDILEI JOSE DE LEMOS
